siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 12:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 12:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 11:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 11:00",11.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 11:00",49
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 11:00",95.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 11:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 11:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 10:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 10:00",12.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 10:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 10:00",71.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 10:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 10:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 09:00",21
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 09:00",15.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 09:00",43
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 09:00",48.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 09:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 09:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 08:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 08:00",14.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 08:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 08:00",31.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 08:00",0.47
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 08:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 07:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 07:00",13.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 07:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 07:00",27.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 07:00",0.56
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 07:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 06:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 06:00",12.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 06:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-19 06:00",18.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-19 06:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-19 06:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-19 05:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-19 05:00",7.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-19 05:00",35
